FAQ_ID,Category,Question,Answer,Related_Policy,Applies_To,Tags,Last_Updated,Visibility
FAQ-0011,Returns,Can I return an item bought during a promotion?,"For the question, ""Can I return an item bought during a promotion?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,promotion",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0012,Returns,What happens if my return is missing parts?,"For the question, ""What happens if my return is missing parts?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,missing parts",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0013,Returns,Can I return an opened air purifier filter?,"For the question, ""Can I return an opened air purifier filter?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,Air Purifier,"returns,filter",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0014,Returns,Can I return a product purchased from a third-party marketplace?,"For the question, ""Can I return a product purchased from a third-party marketplace?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,marketplace",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0015,Returns,How long does return inspection take?,"For the question, ""How long does return inspection take?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,inspection",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0016,Returns,Will I receive a prepaid return label?,"For the question, ""Will I receive a prepaid return label?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,label",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0017,Returns,Can I return multiple items in one package?,"For the question, ""Can I return multiple items in one package?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,multiple items",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0018,Returns,What if I sent my return to the wrong address?,"For the question, ""What if I sent my return to the wrong address?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,wrong address",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0019,Returns,Can I cancel a return request after creating it?,"For the question, ""Can I cancel a return request after creating it?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,cancel request",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0020,Returns,How do I track the status of my return?,"For the question, ""How do I track the status of my return?"", Yes or no depends on the item condition, timing, and eligibility rules. Start by checking the order in your account and confirming that the item, serial number, accessories, manuals, and packaging match the original purchase. Most return requests must be created within the stated return window and the product must be in acceptable condition. Installed, damaged, missing-part, hygiene-sensitive, customized, or final-sale items may be limited or denied. If the return is approved, follow the return label and packing instructions exactly. Returns sent without authorization or to the wrong location may be delayed or rejected.",Return Policy,All categories,"returns,status",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0021,Refunds,How long does a refund take after approval?,"For the question, ""How long does a refund take after approval?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,timeline",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0022,Refunds,Why is my refund amount lower than expected?,"For the question, ""Why is my refund amount lower than expected?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,amount",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0023,Refunds,Can I receive a refund to a different payment method?,"For the question, ""Can I receive a refund to a different payment method?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,payment method",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0024,Refunds,When will I receive a refund for a cancelled order?,"For the question, ""When will I receive a refund for a cancelled order?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,cancelled order",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0025,Refunds,Do shipping fees get refunded?,"For the question, ""Do shipping fees get refunded?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,shipping fee",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0026,Refunds,Can I get a refund if my package is lost?,"For the question, ""Can I get a refund if my package is lost?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,lost package",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0027,Refunds,What is a partial refund?,"For the question, ""What is a partial refund?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,partial",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0028,Refunds,Can I get store credit instead of a refund?,"For the question, ""Can I get store credit instead of a refund?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,store credit",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0029,Refunds,Why does my bank still show the original charge?,"For the question, ""Why does my bank still show the original charge?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,bank delay",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0030,Refunds,Can I request a price adjustment refund?,"For the question, ""Can I request a price adjustment refund?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,price adjustment",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0031,Refunds,How are refunds handled for split payments?,"For the question, ""How are refunds handled for split payments?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,split payment",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0032,Refunds,What happens if my card is expired before the refund is issued?,"For the question, ""What happens if my card is expired before the refund is issued?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,expired card",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0033,Refunds,Can I receive a refund without returning the item?,"For the question, ""Can I receive a refund without returning the item?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,no return",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0034,Refunds,How are refunds handled for bundles?,"For the question, ""How are refunds handled for bundles?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,bundle",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0035,Refunds,Can a refund be reversed once issued?,"For the question, ""Can a refund be reversed once issued?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,reversal",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0036,Refunds,What should I do if I did not receive my refund?,"For the question, ""What should I do if I did not receive my refund?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,missing refund",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0037,Refunds,Are taxes refunded when an item is returned?,"For the question, ""Are taxes refunded when an item is returned?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,tax",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0038,Refunds,How are promotional discounts handled in refunds?,"For the question, ""How are promotional discounts handled in refunds?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,discount",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0039,Refunds,Can I get a refund for an extended warranty plan?,"For the question, ""Can I get a refund for an extended warranty plan?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,warranty plan",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0040,Refunds,Why was my refund denied?,"For the question, ""Why was my refund denied?"", Refund eligibility is reviewed after the related order, cancellation, or return is verified. Approved refunds are normally issued to the original payment method, and bank posting times may vary after our system completes the refund. The final refund amount may reflect item price, taxes, discounts, shipping fees, restocking adjustments, missing accessories, or partial bundle rules. Store credit may be offered in limited cases. If the refund has not appeared after the expected bank processing period, contact support with your order number, refund confirmation, and payment details.",Refund Policy,All categories,"refunds,denial",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0041,Shipping,How long does standard shipping take?,"For the question, ""How long does standard shipping take?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,standard",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0042,Shipping,Can I change my shipping address after placing an order?,"For the question, ""Can I change my shipping address after placing an order?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,address change",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0043,Shipping,Do you offer expedited shipping?,"For the question, ""Do you offer expedited shipping?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,expedited",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0044,Shipping,Do you ship to PO boxes?,"For the question, ""Do you ship to PO boxes?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,PO box",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0045,Shipping,How do I track my package?,"For the question, ""How do I track my package?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,tracking",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0046,Shipping,Why has my tracking number not updated?,"For the question, ""Why has my tracking number not updated?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,tracking delay",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0047,Shipping,What should I do if my package is marked delivered but missing?,"For the question, ""What should I do if my package is marked delivered but missing?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,missing package",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0048,Shipping,Do large smart appliances require a delivery appointment?,"For the question, ""Do large smart appliances require a delivery appointment?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,appointment",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0049,Shipping,Will all items in my order ship together?,"For the question, ""Will all items in my order ship together?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,split shipment",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0050,Shipping,Can I ship an order to another country?,"For the question, ""Can I ship an order to another country?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,international",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0051,Shipping,Do lithium battery products have shipping restrictions?,"For the question, ""Do lithium battery products have shipping restrictions?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,battery",2026-07-02,Public Help Center / Customer Support Knowledge Base
FAQ-0052,Shipping,What happens if delivery fails?,"For the question, ""What happens if delivery fails?"", Shipping options depend on product size, battery restrictions, delivery address, inventory location, and carrier availability. After an order ships, use the tracking link in your account or shipping email for the most current status. Address changes are only possible before shipment is released to the carrier. Large items, signature-required deliveries, international shipments, or restricted smart devices may need extra processing time. If tracking shows delivered but you cannot locate the package, check nearby areas and contact support promptly so a carrier trace can be opened.",Shipping Policy,All categories,"shipping,failed delivery",2026-07-02,Public Help Center / Customer Support Knowledge Base
